cancer_type,gene,mutated_samples,total_samples,mutation_frequency
LUAD,TTN,26,50,52.0
LUAD,TP53,25,50,50.0
LUAD,MUC16,22,50,44.0
LUAD,CSMD3,20,50,40.0
LUAD,RYR2,20,50,40.0
LUAD,ZFHX4,20,50,40.0
LUAD,USH2A,18,50,36.0
LUAD,XIRP2,18,50,36.0
LUAD,LRP1B,17,50,34.0
LUAD,SPTA1,17,50,34.0
LUAD,ADAMTS12,15,50,30.0
LUAD,DST,14,50,28.000000000000004
LUAD,MXRA5,14,50,28.000000000000004
LUAD,TNR,14,50,28.000000000000004
LUAD,ANK2,13,50,26.0
LUAD,CACNA1E,13,50,26.0
LUAD,DOCK2,13,50,26.0
LUAD,PCLO,13,50,26.0
LUAD,ABCA13,12,50,24.0
LUAD,DNAH9,12,50,24.0
LUAD,FAM135B,12,50,24.0
LUAD,FLG,12,50,24.0
LUAD,KEAP1,12,50,24.0
LUAD,PTPRD,12,50,24.0
LUAD,SYNE1,12,50,24.0
LUAD,DMD,11,50,22.0
LUAD,HGF,11,50,22.0
LUAD,HMCN1,11,50,22.0
LUAD,KRAS,11,50,22.0
LUAD,PCDH15,11,50,22.0
LUAD,RELN,11,50,22.0
LUAD,RP1L1,11,50,22.0
LUAD,ZNF804A,11,50,22.0
LUAD,ABCB5,10,50,20.0
LUAD,ASTN1,10,50,20.0
LUAD,CDH12,10,50,20.0
LUAD,CNTNAP5,10,50,20.0
LUAD,COL11A1,10,50,20.0
LUAD,FAT4,10,50,20.0
LUAD,GRM1,10,50,20.0
LUAD,LAMA2,10,50,20.0
LUAD,MUC17,10,50,20.0
LUAD,NPAP1,10,50,20.0
LUAD,PCDH11X,10,50,20.0
LUAD,RIMS2,10,50,20.0
LUAD,RYR3,10,50,20.0
LUAD,SNTG1,10,50,20.0
LUAD,STK11,10,50,20.0
LUAD,UNC79,10,50,20.0
LUAD,VCAN,10,50,20.0
LUAD,ZNF536,10,50,20.0
LUAD,ADGRG4,9,50,18.0
LUAD,CACNA2D1,9,50,18.0
LUAD,CDH10,9,50,18.0
LUAD,CHD6,9,50,18.0
LUAD,COL4A2,9,50,18.0
LUAD,CSMD1,9,50,18.0
LUAD,DNAH8,9,50,18.0
LUAD,FAT3,9,50,18.0
LUAD,HERC2,9,50,18.0
LUAD,KIF2B,9,50,18.0
LUAD,MYH1,9,50,18.0
LUAD,SLITRK1,9,50,18.0
LUAD,TENM2,9,50,18.0
LUAD,TLR4,9,50,18.0
LUAD,TPTE,9,50,18.0
LUAD,TRPA1,9,50,18.0
LUAD,TSHZ3,9,50,18.0
LUAD,ADGRB3,8,50,16.0
LUAD,ANK1,8,50,16.0
LUAD,ANKRD30A,8,50,16.0
LUAD,BRINP3,8,50,16.0
LUAD,CDH18,8,50,16.0
LUAD,CDHR2,8,50,16.0
LUAD,COL6A3,8,50,16.0
LUAD,DNAH5,8,50,16.0
LUAD,DNAH7,8,50,16.0
