,cancer_type,gene,mutated_samples,total_samples,mutation_frequency
21157,LUAD,TTN,26,50,52.0
20982,LUAD,TP53,25,50,50.0
18253,LUAD,MUC16,22,50,44.0
15746,LUAD,CSMD3,20,50,40.0
19904,LUAD,RYR2,20,50,40.0
2682,COAD,APC,35,50,70.0
13177,COAD,TTN,26,50,52.0
8544,COAD,MUC16,23,50,46.0
12916,COAD,TP53,23,50,46.0
12310,COAD,SYNE1,21,50,42.0
1321,BRCA,PIK3CA,18,49,36.734693877551024
1825,BRCA,TP53,15,49,30.612244897959183
664,BRCA,GATA3,8,49,16.3265306122449
310,BRCA,CDH1,6,49,12.244897959183673
1007,BRCA,MAP3K1,6,49,12.244897959183673
