gene,g_mut_count
TTN,213
MUC16,86
RYR2,72
TP53,67
SYNE1,66
APC,59
CSMD3,56
DST,55
LRP1B,50
ZFHX4,49
FAT4,47
USH2A,46
RYR3,44
PIK3CA,44
XIRP2,38
DNAH8,37
FAT3,36
PCLO,36
DNAH11,35
CACNA1E,35
FLG,34
MUC5B,34
HMCN1,33
OBSCN,33
ABCA13,32
CSMD2,31
VCAN,31
UNC79,31
KRAS,31
HYDIN,31
FAT2,30
PCDH15,30
SPTA1,30
ANK2,30
LAMA2,30
DNAH17,29
ANK3,29
KMT2C,29
MACF1,29
DNAH5,29
LRP2,29
DNAH9,28
NEB,27
DNAH7,27
FAM135B,27
DMD,26
RIMS2,26
APOB,26
MXRA5,25
COL6A3,25
DOCK2,25
DNAH10,25
DCHS2,25
ZNF536,25
UNC13C,25
ADAMTS12,25
RYR1,24
PLXNA4,24
CNTNAP5,24
TNR,24
SACS,24
CSMD1,24
HERC2,24
MDN1,24
CDH10,23
PCDH11X,23
PKHD1,23
TEX15,23
DNAH3,22
DNAH2,22
RELN,22
TSHZ3,22
ATM,22
AHNAK2,22
KMT2D,22
NAV3,22
ADGRG4,21
PRKDC,21
PAPPA2,21
TRPS1,21
ZEB2,21
FER1L6,21
CMYA5,21
NF1,21
CHD6,21
NALCN,21
MUC17,21
NBAS,21
FREM2,20
COL12A1,20
ZNF804A,20
SSPOP,20
TENM3,20
MEGF8,20
SCN11A,20
FAT1,20
FBN2,20
ADGRV1,20
ITPR1,20
SLITRK1,20
COL11A1,20
NRXN1,20
STAB2,19
SI,19
ADGRB3,19
ERBB4,19
ZFPM2,19
DYNC1H1,19
CHL1,19
ABCA12,19
LRRC7,19
PCDHA2,19
LAMA1,19
ABCB5,19
TMEM132D,19
FRAS1,19
MYH2,19
ANK1,19
ASTN1,19
MMP16,18
TAF1L,18
GPR179,18
COL5A1,18
PREX2,18
RIMS1,18
BRINP3,18
SYNE2,18
KIAA1109,18
ASPM,18
KCNB2,18
PTPRD,18
ADAMTS2,18
TENM1,18
MYO15A,18
ANKRD30A,18
LRRIQ1,18
SPEF2,18
AKAP6,18
FCGBP,18
COL4A2,18
PCDH17,18
NIPBL,18
ARID2,18
SPHKAP,18
CNTNAP2,18
DOCK10,18
ADAMTS16,18
CTNND2,17
FBN3,17
